,question,answer
33,Do I need citizenship certificate to become an agent?,You need to provide a copy of your citizenship to become an agent.
34,Can I make a claim in suicidal case?,You can make a claim for suicidal case. Please note that the terms and conditions of the policy will be applied.
35,Can we make a claim in case of suicide or criminal activity?,You can make a claim for criminal case. Please note that the terms and conditions of the policy will be applied.
36,Can I make a claim for death case?,You can make a claim for death case. Please note that the terms and conditions of the policy will be applied.
37,Can I make a claim in case of an accident?,You can make a claim for non-death case. Please note that the terms and conditions of the policy will be applied.
38,How much time does it take to settle a claim?,"Once all the required documents are submitted to the insurer, the death claim and other claims will be settled within 15 days, while surrender, maturity, and survival claims will be processed and settled within 7 days."
39,What is the claim settlement time?,"Once all the required documents are submitted to the insurer, the death claim and other claims will be settled within 15 days, while surrender, maturity, and survival claims will be processed and settled within 7 days."
40,How much time does it take to get my claim approved?,"Once all the required documents are submitted to the insurer, the death claim and other claims will be settled within 15 days, while surrender, maturity, and survival claims will be processed and settled within 7 days."
41,How long does it take to process a death claim?,"Once all the required documents are submitted to the insurer, the death claim and other claims will be settled within 15 days, while surrender, maturity, and survival claims will be processed and settled within 7 days."
42,When should I make a claim after an incident?,You need to file the claim within 90 days of the incident.
43,What is the suitable time to make a claim?,You need to file the claim within 90 days of the incident.
44,What happens if i do not register a claim for a long time after the incident?,You need to file the claim within 90 days of the incident.
45,How long should I wait before making a claim after an incident?,You need to file the claim within 90 days of the incident.
46,I made a claim for my accident. Why did it get rejected?,"Claim rejections often occur when they do not meet the terms and conditions outlined in the policy. To understand in detail, please contact to our nearest branch."
47,What are the reasons my claim got cancelled? ,"Claim rejections often occur when they do not meet the terms and conditions outlined in the policy. To understand in detail, please contact to our nearest branch."
48,In which cases the claim gets rejected?,"Claim rejections often occur when they do not meet the terms and conditions outlined in the policy. To understand in detail, please contact to our nearest branch."
49,My claim got rejected. Why did that happen?,"Claim rejections often occur when they do not meet the terms and conditions outlined in the policy. To understand in detail, please contact to our nearest branch."
50,Do I need to pay tax on the death claim?,The money received from the death claim is not subject to taxation.
51,Do I have to pay taxes on the money I receive from a life insurance claim?,"The money received from death claims is tax-free, while non-death claims are subject to taxes."
52,What portion of the life insurance claim is subject to taxes?,"The money received from death claims is tax-free, while non-death claims are subject to taxes."
53,Taxation policy for insurance claims,"The money received from death claims is tax-free, while non-death claims are subject to taxes."
54,Who receives claim benefits?,The individuals you select as beneficiaries are the ones who will receive the benefits from your life insurance policy upon your death.
55,Who benefits from my life insurance?,The individuals you select as beneficiaries are the ones who will receive the benefits from your life insurance policy upon your death.
56,How will I get the claim amount payment?,The claim amount will either be deposited into the claimant's bank account or provided to them as an account payee cheque.
57,How will my beneficiaries receive the claim payout?,The claim amount will either be deposited into the claimant's bank account or provided to them as an account payee cheque.
58,What is life insurance?,"A life insurance policy is a contract with an insurance company. In exchange for premium payments, 
the insurance company provides a lump-sum payment, known as a death benefit, to beneficiaries upon 
the insured's death. The purpose of life insurance is to provide you and your family with financial 
security if you were to pass away. Depending on your policy, life insurance can pay a benefit in events 
such as your death, disability or upon being diagnosed with a Critical illness."
59,Why do I need life insurance?,"Life insurance provides financial security in the event of your death. It offers benefits such as income replacement, debt coverage, and assistance with funeral expenses, helping your family maintain their lifestyle and cover essential expenses."
60,What is the importance of life insurance?,"Life insurance provides financial security in the event of your death. It offers benefits such as income replacement, debt coverage, and assistance with funeral expenses, helping your family maintain their lifestyle and cover essential expenses."
61,Who is eligible for life insurance?,"Anyone is eligible for Life Insurance. However, specific considerations apply concerning age, income, health, and occupation."
62,Are there any age restrictions for obtaining life insurance?,"Anyone is eligible for Life Insurance. However, specific considerations apply concerning age, income, health, and occupation."
63,Is someone with low income eligible for life insurance?,"Anyone is eligible for Life Insurance. However, specific considerations apply concerning age, income, health, and occupation."
64,What are the requirements to get life insurance?,"Anyone is eligible for Life Insurance. However, specific considerations apply concerning age, income, health, and occupation."
65,Can I get Life Insurance if I have certain medical condition?,"Yes, you can be insured. Depending upon the condition certain extra premiums can be a charge on normal premium rates."
66,What is policy document?,"The policy document is the contract documents where all details such as policy number, insurance amount, a term of the policy, payment mode, etc. along with terms and conditions are mentioned."
67,What information does a typical policy document contain?,"The policy document is the contract documents where all details such as policy number, insurance amount, a term of the policy, payment mode, etc. along with terms and conditions are mentioned."
68,What are Life Insurance riders?,Riders are optional additional benefits that you can choose with life insurance policy by paying certain extra premiums.
69,What do you mean by riders in life insurance?,Riders are optional additional benefits that you can choose with life insurance policy by paying certain extra premiums.
70,Can I hold multiple life insurance policies?,"You can have multiple life insurance policies, which can be beneficial in certain situations. For instance, if you already have a policy but require additional coverage, it may be most efficient to take out an additional policy to meet your needs."
71,Can I buy two or more life insurance policies?,"You can have multiple life insurance policies, which can be beneficial in certain situations. For instance, if you already have a policy but require additional coverage, it may be most efficient to take out an additional policy to meet your needs."
72,What can I do if my policy document gets lost?,"If lost or damaged, you should immediately apply for a duplicate copy to the nearby branches."
73,I lost my policy document. What shall I do now?,"If lost or damaged, you should immediately apply for a duplicate copy to the nearby branches."
74,What should I do if my policy document gets damaged?,"If lost or damaged, you should immediately apply for a duplicate copy to the nearby branches."
75,What if my policy document gets lost or damaged?,"If lost or damaged, you should immediately apply for a duplicate copy to the nearby branches."
76,What is the maximum loan amount that I can take from my policy?,Maximum of 90% of the surrender value of the policy can be taken as a policy loan.
77,How much amount of loan can I get from my policy?,Maximum of 90% of the surrender value of the policy can be taken as a policy loan.
78,Can I take loan against my policy?,"You can take policy loan after 2 full years premium have been paid. Loan amount will be determined on basis of cash value amount of your policy which is calculated on basis sum assured, policy term, number of years premium paid, bonus amount, number of years remaining for maturity."
79,What are the requirements to get a loan against my life insurance policy?,"You can take policy loan after 2 full years premium have been paid. Loan amount will be determined on basis of cash value amount of your policy which is calculated on basis sum assured, policy term, number of years premium paid, bonus amount, number of years remaining for maturity."
80,Can I take a loan from any type of life insurance policy?,"You can take policy loan after 2 full years premium have been paid. Loan amount will be determined on basis of cash value amount of your policy which is calculated on basis sum assured, policy term, number of years premium paid, bonus amount, number of years remaining for maturity."
81,What is Accidental Death Benefit?,"ADB, short for ""Accidental Death Benefit"" is an additional feature in life insurance that provides extra coverage if the insured dies in an accident, offering additional financial protection to beneficiaries."
82,What do you mean by ADB?,"ADB, short for ""Accidental Death Benefit"" is an additional feature in life insurance that provides extra coverage if the insured dies in an accident, offering additional financial protection to beneficiaries."
83,What is Critical Illness Rider ?,"A Critical Illness is an optional add-on to a life insurance policy that provides coverage for specific serious illnesses, offering a lump-sum payout upon diagnosis of a covered condition."
84,What do you mean by CI Rider in life insurance?,"CI rider stands for ""Critical Illness rider"" which is an optional add-on to a life insurance policy that provides coverage for specific serious illnesses, offering a lump-sum payout upon diagnosis of a covered condition."
85,What do you mean by FE rider in life insurance?,"A ""funeral expense rider"" is an optional addition to a life insurance policy that provides extra coverage for funeral expenses, helping to reduce the financial burden on the family after the insured's passing."
86,What is a Funeral Expense rider in life insurance?,"A ""funeral expense rider"" is an optional addition to a life insurance policy that provides extra coverage for funeral expenses, helping to reduce the financial burden on the family after the insured's passing."
87,What do you mean by Premium Waiver benefit in Life insurance?,"The ""premium waiver benefit"" is an add-on to a life insurance policy that lets the policyholder skip paying premiums if they become disabled or critically ill, keeping the policy active without financial burden."
88,What is Premium Waiver Benefit(PWB)?,"The ""premium waiver benefit"" is an add-on to a life insurance policy that lets the policyholder skip paying premiums if they become disabled or critically ill, keeping the policy active without financial burden."
89,Is there difference in purchasing policy from the company or from agent?,"No, there is not much difference. However an agent can provide after sales services to a client."
90,What is bonus in life insurance and how is it paid?,"In life insurance, a bonus is an additional amount paid by the insurance company to policyholders as a share of profits, and it is typically added to the policy's sum assured, becoming payable upon maturity or in the event of the insured's death."
91,What do you mean by bonus?,"In life insurance, a bonus is an additional amount paid by the insurance company to policyholders as a share of profits, and it is typically added to the policy's sum assured, becoming payable upon maturity or in the event of the insured's death."
92,How will I get the bonus from my life insurance policy?,"In life insurance, a bonus is an additional amount paid by the insurance company to policyholders as a share of profits, and it is typically added to the policy's sum assured, becoming payable upon maturity or in the event of the insured's death."
93,What do you mean by death benefit?,The death benefit is the money paid to the beneficiaries of a life insurance policy when the insured person passes away.
94,Will the insured receive medical expenses incase of an accident?,Whether the insured person will receive medical expenses in case of an accident depends on the benefits offered by the specific product.
95,What will happen if I don't pay the premium at due date?,"If you fail to pay the premium, your insurance policy becomes inactive and coverage is not provided. However, you can reinstate the policy within the insurance term by meeting the company's requirements. Please note that a late fee will be charged on the premium amount after the grace period."
96,What will happen to my policy if I can't make payment in time?,"If you fail to pay the premium, your insurance policy becomes inactive and coverage is not provided. However, you can reinstate the policy within the insurance term by meeting the company's requirements. Please note that a late fee will be charged on the premium amount after the grace period."
97,Do I have to pay extra charges for late premium payments?,A late fee will be charged on the premium amount after the grace period.
98,What happens if i miss a premium payment?,"If you fail to pay the premium, your insurance policy becomes inactive and coverage is not provided. However, you can reinstate the policy within the insurance term by meeting the company's requirements. Please note that a late fee will be charged on the premium amount after the grace period."
99,What are the consequences of missing a premium payment?,"If you fail to pay the premium, your insurance policy becomes inactive and coverage is not provided. However, you can reinstate the policy within the insurance term by meeting the company's requirements. Please note that a late fee will be charged on the premium amount after the grace period."
100,Do I need to pay fines if I do not pay for my premium in time?,"If you do not pay the premium on time, you have to pay 10% interest in premium per annum as fine."
101,How much fine I have to pay when I did not pay premium in time?,"If you do not pay the premium on time, you have to pay 10% interest in premium per annum as fine."
102,Can I decrease my premium amount?,We regret to inform you that it is not possible to decrease the premium amount for your life insurance policy.
103,How can I decrease my premium amount?,We regret to inform you that it is not possible to decrease the premium amount for your life insurance policy.
104,Can I increase my premium payment amount?,We regret to inform you that it is not possible to change the premium amount for your life insurance policy.
105,I am unable to pay my current premium amount. Can I decrease it?,We regret to inform you that it is not possible to decrease the premium amount for your life insurance policy.
106,I want to change the amount of premium to be paid.,We regret to inform you that it is not possible to change the premium amount for your life insurance policy.
107,Do I need to have a medical examination to get insurance?,Most life insurance requires a medical exam. Please talk to Himalayan Life's Staff or authorized agent at your nearest local branch.
108,Is medical examination necessary for life insurance?,Most life insurance requires a medical exam. Please talk to Himalayan Life's Staff or authorized agent at your nearest local branch.
109,Why medical examination is necessary for life insurance?,Most life insurance requires a medical exam. Please talk to Himalayan Life's Staff or authorized agent at your nearest local branch.
110,What is a tax certificate?,A Tax Certificate serves as an investment proof to receive tax benefits. It is a document that displays the total premium that you have paid for all your policies in a specific financial year. You can use this document as an investment proof for tax filing.
111,Why do I need tax certificate?,A Tax Certificate serves as an investment proof to receive tax benefits. It is a document that displays the total premium that you have paid for all your policies in a specific financial year. You can use this document as an investment proof for tax filing.
112, Why is tax certificate necessary?,A Tax Certificate serves as an investment proof to receive tax benefits. It is a document that displays the total premium that you have paid for all your policies in a specific financial year. You can use this document as an investment proof for tax filing.
113,Do I need to do medical test again for the revival of lapsed policy?,Medical report is necessary to revive the lapsed policy. The policyholder self is responsible for the associated medical expenses.
114,Is medical test necessary to resume my lapsed policy?,Medical report is necessary to revive the lapsed policy. The policyholder self is responsible for the associated medical expenses.
115,Who will bear the medical cost to resume lapsed policy?,"To resume the lapsed policy, the policyholder self is responsible for the associated medical expenses."
116,Am I charged for the medical cost if I want to resume my lapsed policy?,"To resume the lapsed policy, the policyholder self is responsible for the associated medical expenses."
117,Will the insurance company pay the medical bills during revival of lapsed policy?,"To resume the lapsed policy, the policyholder self is responsible for the associated medical expenses."
118,What is my surrender value?,The surrender value is  amount the policyholder will get from the life insurance company if he decides to exit the policy before maturity.
119,How do you determine the surrender value of a life insurance policy?,The surrender value is  amount the policyholder will get from the life insurance company if he decides to exit the policy before maturity.
120,How much money will be returned to me if I terminate my premium?,The surrender value is  amount the policyholder will get from the life insurance company if he decides to exit the policy before maturity.
121,How much repay will I get after closing my plan early?,The surrender value is  amount the policyholder will get from the life insurance company if he decides to exit the policy before maturity.
122,How can I get my surrender value after terminating my policy?,The surrender value is  amount the policyholder will get from the life insurance company if he decides to exit the policy before maturity.
123,What is the pan number of your company?,"For detailed information, please contact our nearest local branch."
124,Can I put mulitple nominees?,"Yes, you can put multiple nominees, but only two persons who are close relatives of a family member."
125,What are the responsibilities of the insurance policy holder?,"The duties of an insurance policyholder include timely premium payment, providing accurate information, reporting claims promptly, and complying with the policy's terms and conditions."
126,What will be my responsibilities after I purchase the insurance policy?,"The duties of an insurance policyholder include timely premium payment, providing accurate information, reporting claims promptly, and complying with the policy's terms and conditions."
127,What factors should I consider while purchasing a policy?,"While buying insurance, you should be careful to thoroughly understand the coverage, terms, and conditions, compare different policies, disclose all relevant information truthfully, and ensure that the policy meets your specific needs and requirements."
128,Do I need to have citizenship to purchase a policy?,"You need to have a citizenship certificate to purchase a life insurance policy. In case of minor, the birth certificate is required."
129,Can I get life insurance for my parents or grandparents?,"Yes, you can. However, specific considerations apply concerning age, income, health, and occupation."
130,Can I get life insurance for my brother or sister?,"Yes, you can. However, specific considerations apply concerning age, income, health, and occupation."
131,What is insurance?,Insurance is a contractual arrangement where individuals or organizations pay premiums to an insurance company to receive financial protection against specific risks and potential losses.
132,Can I get life insurance if I am in risky job?,"Yes, you can still get life insurance even if you have a risky job, though the premiums may be higher due to the increased level of risk associated with your occupation."
133,Is there any age restriction to buy policy?,"Anyone is eligible for Life Insurance. However, specific considerations apply concerning age, income, health, and occupation."
134,Does the age matter to buy the policy?,"Yes, the age of applicant matters while buying a life insurance policy, with younger individuals usually qualifying for low premiums."
135,Do I have to pay the premiums at exact times?,"Yes, you have to pay premiums on time to keep your life insurance coverage active."
136,What are the responsibilities of the insurance agents?,"Insurance agents sell policies, assess client needs, provide information, offer customer service, and ensure compliance with regulations."
137,What does an insurance agent do?,"An insurance agent sells policies, helps clients choose suitable coverage, provides information, and offers customer service."
138,Is citizenship card compulsory to buy insurance?,"You need to have a citizenship certificate to purchase a life insurance policy. In case of minor, the birth certificate is required."
139,How long do I have to pay premiums in whole life plans?,"In whole life plans, policyholders typically have to pay premiums for their entire life or up to a specified age to maintain coverage."
140,What is whole life plan?,"A whole life insurance plan is a type of permanent life insurance that provides coverage for the entire life of the insured, and includes a savings or investment component known as cash value that grows over time."
141,Can I become an agent without any training?,"To become an agent, you must complete a 3-day training program provided by Himalayan Life."
142,How insurance agents help policy holders?,"Insurance agents help policyholders by providing personalized insurance advice, assisting with policy purchases, managing claims, and offering ongoing support throughout the policy term."
143,What is term life insurance?,Term life insurance provides a death benefit that pays the beneficiaries of the policyholder throughout a specified period of time.
144,What do you mean by child plans?,"Child plans are life insurance policies designed to secure a child's financial future in case of the parent or guardian's demise, offering maturity benefits for important milestones."
145,Why did my life insurance policy lapse?,"Your life insurance policy lapsed, possibly due to missed premium payments or other reasons. Please contact your nearest local branch for more information."
146,For how long will agent license be valid?,The agent license is valid for a duration of three years starting from the date of issuance.
147,How can I get agent license?,The documents required to process for an agent license are: a copy of citizenship certificate and a copy of the latest academic qualifications.
148,I want to apply for an agent license.,You need the following documents to process an agent license: a copy of your citizenship certificate and a copy of your latest academic qualifications.
149,Can I transfer my life insurance policy to someone else?,"No, you cannot transfer your life insurance policy to another person."
150,Is it possible to transfer a life insurance policy to another person?,"No, it is not possible to transfer a life insurance policy to another person."
151,How to check next premium amount?,The premium amount is always the same as the First Premium amount you paid.
152,How much premium amount do I need to pay next time?,The premium amount is always the same as the First Premium amount you paid.
153,How can I know the due date to pay for my premium?,You can check in receipt ( invoice) provided by the company as mentioned in the next due date section or you can check on the official website of the company in the policy login menu.
154,How can I check the premium payment date?,You can check in receipt ( invoice) provided by the company as mentioned in the next due date section or you can check on the official website of the company in the policy login menu.
155,When is the last date to pay my premium?,You can check in receipt ( invoice) provided by the company as mentioned in the next due date section or you can check on the official website of the company in the policy login menu.
156,What is the policy name of my policy?,You can check the policy name in the Policy bond paper provided by the company.
157,How can I get details about the list of insurance policies I have taken?,You can visit our nearest branch to know then number of policies you have or you can simply contact us at  +977-1-5970057 number.
158,I am in foreign country. How can I pay my premium?,"You can take help from someone from Nepal, only your policy number and Date of Birth (In AD) are required. Rest he/she can pay
by eSewa or Connect IPS or Khalti or can pay by visiting our nearest branch."
159,How to view policy through mobile app?,"Simply install our Himalayan Life Insurance mobile app from Playstore or Appstore. Now go to online services and put your Policy number, Last name, and Birth Year (A.D.)."
160,How many branches in total do you have?,We have more than 200 branches located in various regions of the country. 
161,What are the tips and tricks for AGM?,The tips and tricks for AGM is to do maximum business in self-code and team.
162,Why I do not receive commission in my agent code?,You may not receive the commission in your agent code if your PAN number and bank details are missing or not correctly registered.
163,"I forget my license number, how can I get my license number?","If you have forgotten your license number, please call the agency department and get the details."
164,Can we renew the agency code through the online process?,The agency code cannot be renewed through an online process; only the license can be renewed online.
165,Can we renew the license through online process?,"Yes, the license can be renewed through the online process."
166,What happens if my health status changes after getting the policy?,"If your health status changes after getting the policy, you should inform to the company as soon as possible."
167,About term life insurance,It is a non profit sharing Plan ( Non Participate in Bonus).
168,What are the things covered by life insurance?,The things covered by life insurance depend on the nature of the plan.
169,What is MIB?,MIB is monthly income rider benefits.
170,What is PWB?,PWB is premium waiver rider benefits.
171,What is CI?,CI is critical illness rider benefits.
172,What is ADB?,ADB is Accidental Death Benefits.
173,How to apply for loan?,You should have bond paper and then visit our nearest branch. The branch will do the rest.
174,After how many premiums can I surrender?,A surrender value is payable only after the completion of  3 full policy year and 3 full annual premiums payments.
175,Why buy life insurance?,"One of the most important reasons to purchase life insurance is to ensure your loved ones are provided for 
financially. Life insurance is also useful in helping your survivors pay bills and debts after your death, as 
well as for funeral expenses. It may be used for wealth accumulation and distribution as part of an overall 
financial strategy."
176,Why do I need life insurance?,"There's no replacement for you and the contribution you make to your family. You want to make sure that people 
in your life, especially your dependents, can remain financially secure after you die. That's what life insurance
does for you and your loved ones. It gives you peace of mind. Income replacement is the no. 1 reason why people buy life insurance. "
177,What Does Life Insurance Cover?,"In its basic form, a life insurance policy provides death benefits and is designed to cover loss of income, 
end-of-life expenses, funeral costs and other financial needs that a family may have if you – the policyholder – should die unexpectedly."
178,Does term life insurance policy have cash value?,"No, term life insurance policies do not have a cash value or any amount you can borrow against."
179,What is whole life insurance?,"Whole life insurance provides coverage throughout the life of the insured person, Whole life insurance guarantees payment of a death benefit to beneficiaries."
180,How soon does the coverage start?,"Generally, your life insurance coverage will begin as soon as you are approved and your first payment is received."
181,Do women pay less for life insurance?,"No. Women historically paid less for policies because they have a longer life expectancy, but 
since the European Court of Justice gender directive was introduced in 2012 this gender-related fact 
can no longer be considered when it comes to calculating premiums."
182,What is the difference between life insurance and life assurance?,"The terms ‘insurance’ and ‘assurance’ are sometimes confused – life insurance is a more popular term. 
The term ‘assurance’ is the provision of cover for an event that will definitely happen but insurance 
is cover for an event that might happen."
183,Do I need a personal life insurance policy if I have group coverage through work?,"Group policies are a great benefit for employees but are generally only in force while you are 
employed with that company. So, if you leave the company or retire, you may be without coverage. 
Therefore, a personal life policy assures adequate coverage regardless of your employment and may 
provide coverage after retirement when you are older, which often means significantly higher premiums."
184,Do I need life insurance if I’m single and have no family depending on me?,"Quite possibly. While you may not have a spouse or family depending on your income to get through life, 
you may have debts and final expenses that someone will be responsible for. Also, if you are a younger 
single person, you have the advantage of being more insurable and, therefore, can get much better rates 
or take advantage of a Endowment with whole life policy which can build significant cash value over the years."
185,Can I change my insurance policy once I purchase it?,"Specially, Sum Assured and term cannot change after the policy issued. But as per demand of Assured 
nominee can change any time before the policy ends, other things like, address, phone number, mode 
of payment etc. can also be changed."
186,What Is the Underwriting Process?,"The underwriting process is a method through which carriers assess your risk based on the 
medical exam (if needed), answers on the proposal form and relating to income source for 
payout premium to conclude whether or not to approve, deny, postpone or rate up a life insurance policy."
187,What is bonus?,"The additional sum that the policyholder will get during the term of the insurance plan or 
at maturity of the plan, provided he/she has paid all premium amounts due for a specified minimum 
number of years. Bonus is the amount added to the basic sum assured under a with-profit life insurance policy."
188,What are the online services provided by the company?,"We have

a. Agency Login : https://himalayanlife.com.np/Login.aspx
c. Policy Holder Login : https://himalayanlife.com.np/Login.aspx
in our website as well as in our mobile apps. Any confusion on their usage 
will be solved by any of our nearest branch."
189,What is Endowment Life Insurance?,"Endowment life insurance combines life insurance with a savings plan. You can choose how long you want the endowment life insurance protection to last. If you pass away before the maturity date, your heirs receive the insurance death benefit. If you live past the maturity date, you get a large payout from the insurer."
190,What is Money Back Insurance?,"Money back plans mean that money is returned to the life insured as a survival benefit after a set period. When the policyholder survives the policy term, the money back is guaranteed. In the event of the policyholder's death, the nominee receives the amount guaranteed as well as any accumulated bonuses, if any."
191,What is a Rider?,"A rider is an insurance policy provision that adds benefits to or amends the terms of a basic insurance policy. Riders provide insured parties with additional coverage options, or they may even restrict or limit coverage. There is an additional cost if a party decides to purchase a rider. Most are low in cost because they involve minimal underwriting. A rider is also referred to as an insurance endorsement. It can be added to policies that cover life, health, and accidents."
192,What do you mean by term plan?,Term life insurance provides a death benefit that pays the beneficiaries of the policyholder throughout a specified period of time.
193,What do you mean by money back plans?,"Money back plans mean that money is returned to the life insured as a survival benefit after a set period. When the policyholder survives the policy term, the money back is guaranteed. In the event of the policyholder's death, the nominee receives the amount guaranteed as well as any accumulated bonuses, if any."
194,Do I need to pay money to get agent license?,You have to pay Rs 500/- as the fee for becoming an agent.
195,What is the fee for agent license?,You have to pay Rs 500/- as the fee for becoming an agent.
